Store Number,Profile Key,Phone,Address,Lat,Lng,Store Hours,Pharmacy Hours,Clinic Hours,Services
1403,walgreens-3201-divisadero-san-francisco-ca-94123,(415) 931-6417,"3201 Divisadero,San Francisco, CA 94123",37.799152,-122.442927,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Online ordering, Medication Compounding, Film roll processing"
2147,walgreens-875-blake-wilbur-drive%2c-suite-cc-1101-mc-palo-alto-ca-94305,(650) 838-0429,"875 Blake Wilbur Drive, Suite CC-1101 MC, Stanford Cancer Center-Pacific Campus,Palo Alto, CA 94305",37.4135757,-122.1689284,,M  F: 8:00AM-7:00PM Sat: 9:00AM-3:00PM Sun:       CLOSED       ,,Online ordering
3193,walgreens-7150-w-atlantic-blvd-margate-fl-33063,(954) 978-9892,"7150 W Atlantic Blvd,Margate, FL 33063",26.234609,-80.221213,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Film roll processing"
3288,walgreens-650-delaware-ave-buffalo-ny-14202,(716) 883-0232,"650 Delaware Ave,Buffalo, NY 14202",42.9017037,-78.8732172,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
3747,walgreens-101-w-imperial-hwy-la-habra-ca-90631,(714) 447-9576,"101 W Imperial Hwy,La Habra, CA 90631",33.917707,-117.946493,,M  F: 9:00AM-9:00PM Sat: 10:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Pharmacy drive-thru, Online ordering"
3769,walgreens-1616-e-thomas-phoenix-az-85016,(602) 263-8307,"1616 E Thomas,Phoenix, AZ 85016",33.4802312,-112.0465284,M F: 7:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 8:00AM-10:00PM,M  F: 9:00AM-9:00PM Sat: 10:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
3815,walgreens-111-s-main-st-orange-ca-92868,(714) 289-3650,"111 S Main St,Orange, CA 92868",33.787619,-117.866858,,M  F: 9:00AM-9:00PM Sat: 10:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Pharmacy drive-thru, Online ordering"
3902,walgreens-7966-florence-ave-downey-ca-90240,(562) 806-0888,"7966 Florence Ave,Downey, CA 90240",33.953422,-118.130506,,M  F: 9:00AM-9:00PM Sat: 10:00AM-5:00PM Sun: 10:00AM-5:00PM,,"Pharmacy drive-thru, Online ordering"
3916,walgreens-758-arthur-kill-rd-staten-island-ny-10312,(718) 317-5085,"758 Arthur Kill Rd,Staten Island, NY 10312",40.5601748,-74.1654118,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Film roll processing"
4174,walgreens-3053-sw-martin-downs-blvd-palm-city-fl-34990,(772) 288-0105,"3053 Sw Martin Downs Blvd,Palm City, FL 34990",27.1726095,-80.2949741,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Film roll processing"
4227,walgreens-903-e-huntington-dr-monrovia-ca-91016,(626) 256-3247,"903 E Huntington Dr,Monrovia, CA 91016",34.139918,-117.98589,,M  F: 9:00AM-9:00PM Sat: 10:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Pharmacy drive-thru, Online ordering"
4255,walgreens-31100-groesbeck-hwy.-fraser-mi-48026,(586) 294-5729,"31100 Groesbeck Hwy.,Fraser, MI 48026",42.524669,-82.945195,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Liquor department (Beer & Wine), Online ordering, Film roll processing"
4318,walgreens-4129-18th-st-san-francisco-ca-94114,(415) 551-7837,"4129 18th St,San Francisco, CA 94114",37.7608157,-122.4356851,,M  F: 9:00AM-9:00PM Sat: 9:00AM-5:00PM Sun:       CLOSED       ,,"Immunizations, Online ordering, HIV Medication Support, Shingles Vaccine"
4382,walgreens-795-e-foothill-blvd-pomona-ca-91767,(909) 624-3017,"795 E Foothill Blvd,Pomona, CA 91767",34.107433,-117.737228,,M  F: 9:00AM-9:00PM Sat: 10:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Pharmacy drive-thru, Online ordering"
4474,walgreens-2501-w-magnolia-blvd-burbank-ca-91505,(818) 841-1685,"2501 W Magnolia Blvd,Burbank, CA 91505",34.172105,-118.335188,,M  F: 9:00AM-9:00PM Sat: 10:00AM-5:00PM Sun: 10:00AM-5:00PM,,"Pharmacy drive-thru, Online ordering"
4535,walgreens-170-n-main-st-randolph-ma-02368,(781) 963-7713,"170 N Main St,Randolph, MA 02368",42.1656906,-71.0433649,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Film roll processing"
4642,walgreens-5755-20th-st-vero-beach-fl-32966,(772) 778-1772,"5755 20th St,Vero Beach, FL 32966",27.638218,-80.446072,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Film roll processing"
4708,walgreens-35800-hwy-27-haines-city-fl-33844,(863) 422-6661,"35800 Hwy 27,Haines City, FL 33844",28.120808,-81.64051,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Online ordering, Medication Compounding, Film roll processing"
4713,walgreens-3148-w-159th-st-markham-il-60426,(708) 339-1184,"3148 W 159th St,Markham, IL 60426",41.601066,-87.693736,M F: 7:00AM-10:00PM Sat: 7:00AM-10:00PM Sun: 7:00AM-10:00PM,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Online ordering, Film roll processing"
5407,walgreens-295-main-st.-manchester-ct-06040,(860) 649-8747,"295 Main St.,Manchester, CT 06040",41.782911,-72.522614,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Film roll processing, Shingles Vaccine"
5920,walgreens-1060-west-camp-wisdom-rd.-dallas-tx-75232,(972) 228-6738,"1060 West Camp Wisdom Rd.,Dallas, TX 75232",32.6618886,-96.839278,M F: 8:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 8:00AM-10:00PM,M  F: 9:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
6072,walgreens-1603-washington-st.-boston-ma-02118,(617) 267-5109,"1603 Washington St.,Boston, MA 02118",42.3382867,-71.0748606,M F: 8:00AM-11:00PM Sat: 8:00AM-11:00PM Sun: 8:00AM-11:00PM,M  F: 8:00AM-10:00PM Sat: 9:00AM-7:00PM Sun: 9:00AM-7:00PM,,"Digital photo pickup, Online ordering, Film roll processing, HIV Medication Support"
621,walgreens-5731-bird-rd-miami-fl-33155,(305) 666-0757,"5731 Bird Rd,Miami, FL 33155",25.7341016,-80.2870806,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Online ordering, Redbox DVD rental, Film roll processing"
6369,walgreens-410-e-jolly-rd-lansing-mi-48910,(517) 882-2732,"410 E Jolly Rd,Lansing, MI 48910",42.682566,-84.548774,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Liquor department (Beer & Wine), Online ordering, Redbox DVD rental, Film roll processing"
6610,walgreens-2500-main-st.-ne-los-lunas-nm-87031,(505) 865-7551,"2500 Main St. Ne,Los Lunas, NM 87031",34.8064465,-106.7034011,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
667,walgreens-1963-loiza-st-san-juan-pr-00911,(787) 728-0033,"1963 Loiza St,San Juan, PR 00911",18.4203618,-65.9879222,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
6766,walgreens-1880-e-irvington-road-tucson-az-85714,(520) 294-1975,"1880 E Irvington Road,Tucson, AZ 85714",32.1632569,-110.9438084,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Film roll processing"
10002,walgreens-1418-e-prosperity-ave-tulare-ca-93274,(559) 684-7963,"1418 E Prosperity Ave,Tulare, CA 93274",36.226402,-119.325805,,M  F: 8:00AM-9:00PM Sat: 9:00AM-5:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Immunizations, Cafe W: coffee, baked goods and more, Online ordering, Redbox DVD rental, Medication Compounding, Film roll processing, Shingles Vaccine"
10003,walgreens-134-state-st-meriden-ct-06450,(203) 634-3241,"134 State St, Community Health Center of Meriden,Meriden, CT 06450",41.5254822,-72.7688226,,Mon: 9:00AM-6:00PM Tue: 9:00AM-6:00PM Wed: 9:00AM-6:00PM Thu: 9:00AM-5:00PM Fri: 9:00AM-5:00PM Sat:       CLOSED        Sun:      CLOSED      ,,"Online ordering, Shingles Vaccine, HIV Medication Support"
10007,walgreens-421-9th-ave-se-watertown-sd-57201,(605) 882-3788,"421 9th Ave SE,Watertown, SD 57201",44.8903332,-97.1102417,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
10017,walgreens-13640-plaza-del-rio-peoria-az-85381,(623) 974-0436,"13640 Plaza Del Rio, Arizona Medical Clinic,Peoria, AZ 85381",33.6101651,-112.2413166,,M  F: 8:30AM-5:00PM Sat:      CLOSED       Sun:       CLOSED       ,,"Online ordering, Shingles Vaccine"
10018,walgreens-10503-w-thunderbird%2c-suite-101b-sun-city-az-85351,(623) 972-7868,"10503 W Thunderbird, Suite 101B, Banner Boswell Medical Center,Sun City, AZ 85351",33.6020658,-112.280129,,M  F: 8:30AM-5:00PM Sat:      CLOSED       Sun:       CLOSED       ,,"Online ordering, Medication Compounding, Shingles Vaccine"
1002,walgreens-3255-vicksburg-ln-n-plymouth-mn-55447,(763) 253-8917,"3255 Vicksburg LN N,Plymouth, MN 55447",45.0172611,-93.4825046,M F: 7:00AM-10:00PM Sat: 7:00AM-10:00PM Sun: 7:00AM-10:00PM,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Cafe W: coffee, baked goods and more, Online ordering, Film roll processing"
10020,walgreens-215-westheimer-rd-houston-tx-77006,(713) 524-3494,"215 Westheimer Rd, Legacy Community Health Center,Houston, TX 77006",29.7431508,-95.38872,,Mon: 9:00AM-7:00PM Tue: 9:00AM-7:00PM Wed: 9:00AM-7:00PM Thu: 9:00AM-7:00PM Fri: 9:00AM-5:00PM Sat:       CLOSED        Sun:      CLOSED      ,,"Online ordering, HIV Medication Support"
10029,walgreens-27251-wolf-rd-bay-village-oh-44140,(440) 835-1450,"27251 Wolf Rd,Bay Village, OH 44140",41.484233,-81.92197,,M  F: 9:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Online ordering, Film roll processing, Shingles Vaccine"
10032,walgreens-8966-brecksville-rd-brecksville-oh-44141,(440) 526-5250,"8966 Brecksville Rd,Brecksville, OH 44141",41.318225,-81.6271359,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Immunizations, Online ordering, Film roll processing, Shingles Vaccine"
1004,walgreens-1625-taylor-rd-port-orange-fl-32128,(386) 761-5578,"1625 Taylor Rd,Port Orange, FL 32128",29.103841,-81.031254,M F: 8:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 8:00AM-10:00PM,M  F: 9:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 9:00AM-5:00PM,,"Digital photo pickup, Pharmacy drive-thru, Liquor department (Beer & Wine), Online ordering, Film roll processing"
10044,walgreens-45-castro-st-san-francisco-ca-94114,(415) 565-0991,"45 Castro St, CPMC, Davies Campus,San Francisco, CA 94114",37.7561438,-122.4325682,,M  F: 9:00AM-6:00PM Sat:      CLOSED       Sun:       CLOSED       ,,"Immunizations, Online ordering, HIV Medication Support, Shingles Vaccine"
10045,walgreens-2310-telegraph-ave.-berkeley-ca-94704,(510) 848-5121,"2310 Telegraph Ave.,Berkeley, CA 94704",37.8684182,-122.2592822,,M  F: 9:00AM-7:00PM Sat: 9:00AM-6:00PM Sun:       CLOSED       ,,"Digital photo pickup, Printer cartridge refills, Cafe W: coffee, baked goods and more, Online ordering, Redbox DVD rental, Film roll processing"
10048,walgreens-46-021-kamehameha-hwy-kaneohe-hi-96744,(808) 234-1490,"46-021 Kamehameha Hwy,Kaneohe, HI 96744",21.4193653,-157.8022652,,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Immunizations, Cafe W: coffee, baked goods and more, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10050,walgreens-6201-e-broad-street-columbus-oh-43213,(614) 367-7526,"6201 E Broad Street,Columbus, OH 43213",39.9799998,-82.8366314,,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Pharmacy drive-thru, Immunizations, Online ordering, Redbox DVD rental, Medication Compounding, Film roll processing, Shingles Vaccine"
10051,walgreens-8060-s-mason-montgomery-rd-mason-oh-45040,(513) 770-5587,"8060 S Mason Montgomery Rd,Mason, OH 45040",39.321914,-84.311891,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Cafe W: coffee, baked goods and more, Online ordering, Film roll processing, Shingles Vaccine"
10053,walgreens-3141-tremont-road-upper-arlington-oh-43221,(614) 538-0029,"3141 Tremont Road,Upper Arlington, OH 43221",40.0209381,-83.0614019,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10054,walgreens-65-se-goodfellow-st-ontario-or-97914,(541) 889-6288,"65 SE Goodfellow St,Ontario, OR 97914",44.023983,-116.943987,,M  F: 8:00AM-10:00PM Sat: 10:00AM-6:00PM Sun: 9:00AM-5:00PM,,"Digital photo pickup, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
10056,walgreens-175-south-columbia-river-hwy-st.-helens-or-97051,(503) 397-7862,"175 South Columbia River Hwy,St. Helens, OR 97051",45.8573172,-122.8228841,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Immunizations, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10057,walgreens-4713-flintridge-dr-colorado-springs-co-80918,(719) 219-3747,"4713 Flintridge Dr,Colorado Springs, CO 80918",38.90026,-104.767511,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Immunizations, Online ordering, Film roll processing, Shingles Vaccine"
10058,walgreens-235-main-ave-norwalk-ct-06851,(203) 845-8767,"235 Main Ave,Norwalk, CT 06851",41.1318578,-73.4237886,,M  F: 8:00AM-10:00PM Sat: 8:00AM-6:00PM Sun: 9:00AM-6:00PM,,"Digital photo pickup, Online ordering, Film roll processing"
10059,walgreens-1325-w.-main-st%2c-cabot-ar-72023,(501) 941-3131,"1325 W. Main St,,Cabot, AR 72023",34.9794376,-92.0320675,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
10060,walgreens-475-hidden-valley-pkwy-norco-ca-92860,(951) 280-1270,"475 Hidden Valley Pkwy,Norco, CA 92860",33.900454,-117.557642,,M  F: 8:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Online ordering, Film roll processing"
10062,walgreens-500-howland-blvd-deltona-fl-32728,(407) 710-3120,"500 Howland Blvd,Deltona, FL 32728",28.879585,-81.164973,,M  F: 9:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 9:00AM-5:00PM,,"Digital photo pickup, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
10063,walgreens-6300-crain-hwy-la-plata-md-20646,(301) 392-6116,"6300 Crain Hwy,La Plata, MD 20646",38.538959,-76.983092,,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Cafe W: coffee, baked goods and more, Online ordering, Film roll processing"
10064,walgreens-3082-avenue-u-brooklyn-ny-11229,(347) 783-5752,"3082 Avenue U,Brooklyn, NY 11229",40.6010202,-73.9362705,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Online ordering"
10066,walgreens-929-new-hwy-68-sweetwater-tn-37874,(423) 351-1277,"929 New Hwy 68,Sweetwater, TN 37874",35.591063,-84.478024,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Immunizations, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10067,walgreens-1005-beacon-street-philadelphia-ms-39350,(601) 389-1119,"1005 Beacon Street,Philadelphia, MS 39350",32.7700316,-89.1286243,,M  F: 8:00AM-8:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
10069,walgreens-11983-hawthorne-blvd-hawthorne-ca-90250,(310) 349-0130,"11983 Hawthorne Blvd,Hawthorne, CA 90250",33.92406,-118.353148,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Online ordering, Film roll processing"
10070,walgreens-6360-e-evans-ave-denver-co-80222,(303) 759-8853,"6360 E Evans Ave,Denver, CO 80222",39.6784386,-104.915004,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Immunizations, Online ordering, Shingles Vaccine"
10071,walgreens-1217-22nd-st--nw-washington-dc-20037,(202) 776-9084,"1217 22nd St  NW,Washington, DC 20037",38.9057478,-77.0487862,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Cafe W: coffee, baked goods and more, Online ordering, Film roll processing, HIV Medication Support"
10073,walgreens-2400-w-sycamore-st-kokomo-in-46901,(765) 868-0140,"2400 W Sycamore St,Kokomo, IN 46901",40.4877528,-86.1650032,,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Medication Compounding, Film roll processing"
10074,walgreens-2345-e.-markland-ave-kokomo-in-46901,(765) 868-4798,"2345 E. Markland Ave,Kokomo, IN 46901",40.476698,-86.0998111,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Immunizations, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10076,walgreens-2560-quarry-lake-drive-baltimore-md-21209,(410) 486-4966,"2560 Quarry Lake Drive,Baltimore, MD 21209",39.3845852,-76.6876026,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Cafe W: coffee, baked goods and more, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10077,walgreens-11-state-rd-bath-me-04530,(207) 443-1786,"11 State Rd,Bath, ME 04530",43.906695,-69.831593,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 9:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Immunizations, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10078,walgreens-875-e-napier-rd-benton-harbor-mi-49022,(269) 983-3463,"875 E Napier Rd,Benton Harbor, MI 49022",42.087555,-86.437336,,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Film roll processing"
10079,walgreens-1171-e-sherman-blvd-norton-shores-mi-49444,(231) 733-8465,"1171 E Sherman Blvd,Norton Shores, MI 49444",43.2049664,-86.2173141,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Pharmacy drive-thru, Immunizations, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10080,walgreens-7920-shaver-road-portage-mi-49024,(269) 324-9988,"7920 Shaver Road,Portage, MI 49024",42.2020109,-85.5910431,,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Online ordering, Redbox DVD rental, Medication Compounding, Film roll processing"
10081,walgreens-5933-s-westnedge-ave-portage-mi-49002,(269) 381-4862,"5933 S Westnedge Ave,Portage, MI 49002",42.2306131,-85.5891301,,M  F: 9:00AM-9:00PM Sat: 10:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Immunizations, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10082,walgreens-10941-olive-st.-blvd.-creve-coeur-mo-63141,(314) 997-0555,"10941 Olive St. Blvd.,Creve Coeur, MO 63141",38.6735597,-90.4133713,Open 24 Hours,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Pharmacy drive-thru, Online ordering"
10083,walgreens-2301-10th-avenue-south-great-falls-mt-59405,(406) 727-1376,"2301 10th Avenue South,Great Falls, MT 59405",47.4942118,-111.2677668,,Open 24 Hours,,"Open 24 hours, Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Immunizations, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
10084,walgreens-1150-11th-ave-helena-mt-59601,(406) 442-1265,"1150 11th Ave,Helena, MT 59601",46.5898583,-112.0214384,,M  F: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM,,"Digital photo pickup, Printer cartridge refills, Pharmacy drive-thru, Immunizations, Online ordering, Redbox DVD rental, Film roll processing, Shingles Vaccine"
